offer_id,product_id
5001,100017
5001,100016
5002,100161
5002,100162
5002,100165
5002,100170
5002,100169
5003,100005
5003,100003
5004,100134
5004,100132
5004,100137
5004,100138
5005,100033
5005,100036
5005,100038
5006,100220
5006,100214
5006,100219
5006,100212
5006,100216
5006,100213
5006,100215
5007,100064
5007,100068
5007,100063
5007,100062
5008,100133
5008,100138
5009,100170
5009,100166
5009,100165
5009,100167
5009,100161
5009,100163
5009,100162
5010,100109
5010,100104
5010,100107
5010,100106
5010,100103
5010,100102
5011,100012
5011,100015
5011,100019
5011,100014
5012,100131
5012,100133
5012,100132
5012,100136
5012,100139
5012,100137
5013,100106
5013,100102
5013,100109
5013,100101
5014,100144
5014,100150
5015,100212
5015,100218
5015,100215
5015,100214
5015,100217
5016,100061
5016,100068
5016,100067
5017,100233
5017,100234
5017,100235
5018,100222
5018,100230
5018,100224
5018,100221
5018,100229
5018,100227
5019,100135
5019,100139
5019,100134
5019,100136
5019,100131
5019,100137
5019,100140
5020,100087
5020,100083
5020,100086
5020,100082
5020,100089
5020,100084
5021,100072
5021,100080
5021,100074
5021,100078
5021,100076
5021,100075
5022,100234
5022,100233
5022,100237
5022,100236
5022,100231
5023,100238
5023,100234
5023,100232
5023,100233
5023,100237
5023,100236
5024,100026
5024,100024
5024,100030
5024,100027
5024,100021
5024,100025
5024,100023
5025,100106
5025,100102
5025,100108
5025,100107
5025,100101
5026,100159
5026,100154
5026,100160
5027,100191
5027,100199
5028,100181
5028,100190
5028,100182
5028,100188
5028,100184
5028,100187
5028,100189
5029,100178
5029,100175
5029,100172
5029,100174
5029,100171
5029,100176
5029,100177
5030,100062
5030,100070
5030,100067
5030,100068
5030,100063
5031,100158
5031,100151
5031,100154
5031,100157
5031,100160
5032,100125
5032,100129
5032,100128
5032,100130
5032,100122
5032,100126
5033,100002
5033,100001
5033,100003
5033,100007
5034,100109
5034,100104
5034,100107
5034,100101
5034,100105
5035,100230
5035,100229
5035,100222
5035,100226
5035,100227
5035,100223
5035,100225
5036,100207
5036,100204
5036,100209
5036,100203
5036,100205
5036,100208
5037,100062
5037,100066
5037,100068
5037,100061
5037,100067
5038,100166
5038,100164
5038,100163
5038,100165
5038,100162
5038,100161
5038,100170
5039,100101
5039,100110
5039,100104
5039,100108
5039,100105
5040,100124
5040,100122
5040,100129
5040,100123
5041,100027
5041,100022
5041,100024
5041,100026
5041,100029
5041,100021
5042,100041
5042,100042
5042,100048
5043,100175
5043,100173
5043,100178
5044,100182
5044,100190
5044,100185
5045,100055
5045,100058
5045,100054
5045,100059
5045,100056
5045,100053
5045,100060
5046,100178
5046,100174
5046,100173
5046,100172
5046,100177
5046,100175
5046,100171
5047,100188
5047,100187
5047,100185
5047,100184
5047,100190
5047,100181
5047,100186
5048,100240
5048,100231
5048,100232
5048,100235
5048,100239
5049,100135
5049,100136
5049,100137
5049,100134
5049,100132
5049,100139
5049,100133
5050,100198
5050,100194
5051,100130
5051,100129
5051,100126
5052,100072
5052,100074
5052,100079
5052,100080
5053,100192
5053,100194
5053,100193
5053,100191
5054,100226
5054,100229
5054,100223
5055,100024
5055,100025
5055,100030
5055,100027
5055,100021
5056,100226
5056,100229
5056,100224
5056,100222
5056,100223
5057,100068
5057,100067
5058,100193
5058,100199
5058,100191
5059,100147
5059,100142
5059,100143
5060,100079
5060,100072
5060,100080
5060,100073
5060,100074
5061,100006
5061,100004
5061,100002
5061,100005
5062,100182
5062,100183
5062,100181
5063,100048
5063,100041
5063,100042
5063,100050
5064,100125
5064,100122
5064,100121
5064,100124
5064,100127
5065,100148
5065,100141
5065,100150
5065,100143
5065,100147
5065,100146
5065,100149
5066,100195
5066,100199
5066,100196
5067,100120
5067,100111
5067,100117
5067,100118
5067,100112
5067,100116
5068,100038
5068,100040
5068,100034
5068,100032
5068,100035
5068,100039
5069,100231
5069,100233
5069,100237
5069,100235
5069,100239
5069,100236
5070,100029
5070,100030
5071,100127
5071,100123
5071,100125
5071,100129
5071,100128
5072,100226
5072,100227
5073,100091
5073,100094
5073,100100
5073,100093
5073,100097
5074,100044
5074,100043
5075,100170
5075,100167
5076,100227
5076,100223
5076,100225
5076,100222
5077,100002
5077,100007
5077,100009
5077,100005
5077,100006
5078,100093
5078,100096
5078,100095
5078,100099
5078,100092
5078,100091
5079,100007
5079,100010
5080,100164
5080,100169
5080,100161
5080,100163
5080,100162
5080,100165
5080,100166
5081,100106
5081,100110
5082,100173
5082,100171
5082,100172
5082,100178
5082,100179
5082,100174
5082,100177
5083,100166
5083,100167
5083,100165
5083,100168
5083,100163
5083,100162
5084,100056
5084,100059
5084,100051
5084,100058
5085,100073
5085,100075
5086,100214
5086,100213
5086,100217
5086,100218
5086,100220
5087,100007
5087,100004
5088,100133
5088,100131
5088,100135
5088,100136
5088,100137
5088,100139
5088,100138
5089,100205
5089,100209
5089,100203
5090,100063
5090,100070
5090,100069
5090,100067
5090,100061
5090,100066
5091,100203
5091,100201
5092,100004
5092,100003
5092,100007
5092,100005
5092,100009
5093,100222
5093,100224
5093,100229
5093,100230
5093,100225
5093,100223
5093,100228
5094,100189
5094,100187
5094,100190
5094,100181
5094,100184
5094,100186
5095,100056
5095,100060
5095,100055
5095,100053
5095,100059
5095,100054
5096,100210
5096,100206
5096,100209
5097,100234
5097,100233
5097,100232
5097,100236
5097,100239
5097,100237
5098,100144
5098,100141
5099,100163
5099,100161
5099,100169
5100,100133
5100,100131
5100,100132
5100,100134
